City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
240,Lagoa,39.05,-27.9833,65.52,77,0,4.16,PT,clear sky,2022-06-29 19:58:57
241,Saint Anthony,45.0205,-93.218,90.34,44,40,16.11,US,scattered clouds,2022-06-29 19:56:29
242,Hualmay,-11.0964,-77.6139,67.21,67,2,8.5,PE,clear sky,2022-06-29 19:57:30
243,Salvador,13.8333,-88.9167,88.05,57,39,1.57,SV,scattered clouds,2022-06-29 19:58:57
244,Antonina,-25.4286,-48.7119,76.68,1,0,0.65,BR,clear sky,2022-06-29 19:58:57
245,Laela,-8.5667,32.05,57.29,63,100,3.94,TZ,overcast clouds,2022-06-29 19:58:58
246,San Cristobal,7.7669,-72.225,77.18,84,99,1.36,VE,overcast clouds,2022-06-29 19:58:58
247,Conceicao Do Araguaia,-8.2578,-49.2647,90.93,33,95,4.12,BR,overcast clouds,2022-06-29 19:58:59
248,Sheridan,44.8333,-106.9173,85.01,30,72,7.0,US,broken clouds,2022-06-29 19:54:34
249,Tessalit,20.1986,1.0114,100.87,9,8,5.73,ML,clear sky,2022-06-29 19:58:59
250,Luang Prabang,19.8856,102.1347,74.7,99,100,1.63,LA,overcast clouds,2022-06-29 19:59:00
251,Storsteinnes,69.2408,19.2344,61.45,84,58,4.68,NO,broken clouds,2022-06-29 19:59:00
252,Mnogovershinnyy,53.9353,139.9242,56.52,79,0,1.66,RU,clear sky,2022-06-29 19:59:00
253,Los Corrales De Buelna,43.2636,-4.0726,58.1,89,100,1.99,ES,overcast clouds,2022-06-29 19:59:01
254,Kapit,2.0167,112.9333,72.54,99,98,1.12,MY,overcast clouds,2022-06-29 19:59:01
255,Samarai,-10.6167,150.6667,80.51,83,33,13.6,PG,scattered clouds,2022-06-29 19:59:01
256,Tifton,31.4505,-83.5085,89.31,37,87,8.39,US,heavy intensity rain,2022-06-29 19:59:02
257,Pokaran,26.9167,71.9167,90.84,58,100,25.08,IN,overcast clouds,2022-06-29 19:59:02
